observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9/2/2018,2018-09-02 16:50:51 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/30/2018,2018-08-30 23:15:40 UTC,FALSE,Berkeley,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/3/2018,2018-09-03 16:05:37 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/6/2018,2018-09-06 18:36:45 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/7/2018,2018-09-07 18:53:23 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/9/2018,2018-09-09 15:30:33 UTC,FALSE,Fayette,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/9/2018,2018-09-09 15:33:43 UTC,FALSE,Fayette,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/5/2018,2018-09-05 12:45:00 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/9/2018,2018-09-09 21:02:38 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/9/2018,2018-09-09 15:11:48 UTC,FALSE,Fayette,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/4/2018,2018-08-04 23:37:23 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/11/2018,2018-09-11 18:28:44 UTC,FALSE,Gilmer,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/14/2018,2018-09-14 17:01:39 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/18/2018,2018-09-18 17:02:48 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/18/2018,2018-09-18 20:39:01 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/19/2018,2018-09-19 18:29:51 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/19/2018,2018-09-19 18:30:11 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/28/2018,2018-09-28 12:10:35 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/1/2018,2018-10-01 22:52:25 UTC,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/4/2018,2018-10-04 16:42:43 UTC,FALSE,Kanawha,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/4/2018,2018-10-04 20:51:14 UTC,FALSE,Raleigh,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/6/2018,2018-10-06 14:39:30 UTC,FALSE,Jackson,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/10/2018,2018-10-10 14:23:09 UTC,FALSE,Marion,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/29/2018,2018-09-29 16:02:00 UTC,FALSE,Upshur,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/8/2018,2018-09-08 16:22:00 UTC,FALSE,Fayette,Monarch,Danaus plexippus,Monarch,Insecta,48662
